date,price
7 Jan 2019,50
8 Jan 2019,61
9 Jan 2019,67
10 Jan 2019,48
11 Jan 2019,53
12 Jan 2019,40
13 Jan 2019,41
14 Jan 2019,59
15 Jan 2019,80
16 Jan 2019,70
17 Jan 2019,55
18 Jan 2019,65
19 Jan 2019,33
20 Jan 2019,33
21 Jan 2019,55
22 Jan 2019,52
23 Jan 2019,72
24 Jan 2019,71
25 Jan 2019,63
26 Jan 2019,43
27 Jan 2019,39
28 Jan 2019,63
29 Jan 2019,47
30 Jan 2019,82
31 Jan 2019,76
1 Feb 2019,55
2 Feb 2019,46
3 Feb 2019,48
4 Feb 2019,73
5 Feb 2019,98
6 Feb 2019,69
7 Feb 2019,54
8 Feb 2019,52
9 Feb 2019,41
10 Feb 2019,42
11 Feb 2019,67
12 Feb 2019,75
13 Feb 2019,73
14 Feb 2019,50
15 Feb 2019,59
16 Feb 2019,29
17 Feb 2019,36
18 Feb 2019,70
19 Feb 2019,90
20 Feb 2019,85
21 Feb 2019,75
22 Feb 2019,68
23 Feb 2019,34
24 Feb 2019,34
25 Feb 2019,99
26 Feb 2019,59
27 Feb 2019,63
28 Feb 2019,71
1 Mar 2019,81
2 Mar 2019,48
3 Mar 2019,42
4 Mar 2019,150
5 Mar 2019,116
6 Mar 2019,110
7 Mar 2019,94
8 Mar 2019,100
9 Mar 2019,77
10 Mar 2019,77
11 Mar 2019,135
12 Mar 2019,131
13 Mar 2019,99
14 Mar 2019,86
15 Mar 2019,118
16 Mar 2019,65
17 Mar 2019,91
18 Mar 2019,87
19 Mar 2019,99
20 Mar 2019,99
21 Mar 2019,97
22 Mar 2019,126
23 Mar 2019,75
24 Mar 2019,70
25 Mar 2019,142
26 Mar 2019,139
27 Mar 2019,157
28 Mar 2019,99
29 Mar 2019,129
30 Mar 2019,97
31 Mar 2019,116
1 Apr 2019,177
2 Apr 2019,186
3 Apr 2019,169
4 Apr 2019,87
5 Apr 2019,74
6 Apr 2019,57
7 Apr 2019,48
8 Apr 2019,79
9 Apr 2019,83
10 Apr 2019,68
11 Apr 2019,125
12 Apr 2019,76
13 Apr 2019,44
14 Apr 2019,55
15 Apr 2019,95
16 Apr 2019,91
17 Apr 2019,32
